time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,atr,roc5,vol_ma,vol_ratio,tp_p,date_utc,vwap
2025-10-14 02:00:00,115280.9,115524.56,113368.0,113590.87,616.93882,,0.0,0.0,0.0,,,113590.87,113590.87,113590.87,2156.5599999999977,,,,114161.14333333333,2025-10-14,114161.14333333333
2025-10-14 06:00:00,113590.88,113778.63,111451.84,111795.25,1383.46759,0.0,-143.2403418803442,-28.648068376068842,-114.59227350427537,,,113231.746,113427.6318181818,113520.45352941177,2179.2573333333326,,,,112341.90666666666,2025-10-14,112902.97151670084
2025-10-14 10:00:00,111798.01,112248.46,110140.0,111404.98,1274.09891,0.0,-284.9659619645972,-79.91164709377452,-205.0543148708227,,,112866.3928,113243.75438016526,113437.49378316032,2169.8176888888893,,,,111264.48,2025-10-14,112265.44002676182
2025-10-14 14:00:00,111404.99,112979.35,109961.01,112965.0,1531.29033,6.610783059915718,-268.3110379626305,-117.59152526754572,-150.7195126950848,,,112886.11424000001,113218.4130728775,113418.96461519325,2282.953997037039,,,,111968.45333333332,2025-10-14,112170.80994156755
2025-10-14 18:00:00,112964.99,113604.55,111765.0,112669.12,1694.40587,6.52270839569583,-275.8075956481189,-149.23473934366035,-126.57285630445853,,,112842.71539200001,113168.47733897954,113389.5589440092,2223.8334640987673,,,,112679.55666666666,2025-10-14,112303.42482045997
2025-10-14 22:00:00,112669.12,113650.0,112284.36,113100.12,504.56714,8.436379895128624,-244.15609416925872,-168.21901030878004,-75.93708386047868,,,112894.19631360003,113162.26303543594,113378.20839718531,2109.4076688855985,-0.43203296180406053,,,113011.49333333333,2025-10-14,112354.4283755816
2025-10-15 02:00:00,113090.14,113682.16,111890.97,112087.81,581.18022,8.021031596778016,-297.3295776924497,-194.041123785514,-103.28845390693567,,,112732.91905088004,113064.58548675994,113327.60453847217,2066.978646367519,0.26169269266806744,,,112553.64666666667,2025-10-15,112553.64666666667
2025-10-15 06:00:00,112093.6,112766.65,111815.94,112645.66,605.87374,10.632147928790914,-291.10048839930096,-213.45299670827143,-77.64749169102953,,,112715.46724070403,113026.50135159995,113300.86161539482,1918.142826851849,1.113666552428812,,,112409.41666666667,2025-10-15,112480.03150470706
2025-10-15 10:00:00,112645.66,113600.0,111779.59,111999.63,826.36033,10.268594194409573,-334.43791999696987,-237.64998136601116,-96.7879386309587,,,112572.29979256324,112933.1494105454,113249.83292459504,1905.111783271603,-0.8545744257070733,,,112459.73999999999,2025-10-15,112471.70331581458
2025-10-15 14:00:00,111999.62,112323.97,110456.08,110873.72,1523.79889,9.649324020532063,-454.39667216043745,-280.99931952489646,-173.39735263554098,,,112232.5838340506,112745.92855504128,113156.65202559132,1900.1488788353893,-1.593515596820135,,,111217.92333333334,2025-10-15,111931.58643611634
